Date,Coarse wool Price,Coarse wool price % Change,Copra Price,Copra price % Change,Cotton Price,Cotton price % Change,Fine wool Price,Fine wool price % Change,Hard log Price,Hard log price % Change,Hard sawnwood Price,Hard sawnwood price % Change,Hide Price,Hide price % change,Rubber Price,Rubber price % Change
1990-04-01,482.34,0.0,236.0,0.0,1.83,0.0,1071.63,0.0,161.2,0.0,549.91,0.0,100.0,0.0,0.84,0.0
1990-05-01,447.26,-7.27,234.0,-0.85,1.89,3.28,1057.18,-1.35,172.86,7.23,491.88,-10.55,99.46,-0.54,0.85,1.19
1990-06-01,440.99,-1.4,216.0,-7.69,1.99,5.29,898.24,-15.03,181.67,5.1,495.39,0.71,97.9,-1.57,0.85,0.0
1990-07-01,418.44,-5.11,205.0,-5.09,2.01,1.01,895.83,-0.27,187.96,3.46,485.86,-1.92,96.75,-1.17,0.86,1.18
1990-08-01,418.44,0.0,198.0,-3.41,1.79,-10.95,951.22,6.18,186.13,-0.97,487.52,0.34,91.89,-5.02,0.88,2.33
1990-09-01,412.18,-1.5,196.0,-1.01,1.79,0.0,936.77,-1.52,185.33,-0.43,487.75,0.05,87.66,-4.6,0.9,2.27
1990-10-01,394.64,-4.26,198.0,1.02,1.79,0.0,901.85,-3.73,189.76,2.39,505.24,3.59,84.59,-3.5,0.9,0.0
1990-11-01,334.5,-15.24,236.0,19.19,1.82,1.68,888.61,-1.47,179.02,-5.66,511.33,1.21,82.86,-2.05,0.9,0.0
1990-12-01,328.24,-1.87,237.0,0.42,1.85,1.65,870.55,-2.03,171.13,-4.41,499.2,-2.37,84.85,2.4,0.88,-2.22
1991-01-01,319.47,-2.67,233.0,-1.69,1.85,0.0,887.41,1.94,169.19,-1.13,497.05,-0.43,81.64,-3.78,0.87,-1.14
1991-02-01,323.23,1.18,226.0,-3.0,1.87,1.08,596.02,-32.84,176.93,4.57,492.56,-0.9,75.9,-7.03,0.85,-2.3
1991-03-01,328.24,1.55,236.0,4.42,1.86,-0.53,586.39,-1.62,162.57,-8.12,491.12,-0.29,76.6,0.92,0.83,-2.35
1991-04-01,365.82,11.45,224.0,-5.08,1.83,-1.61,596.02,1.64,175.59,8.01,495.44,0.88,86.45,12.86,0.82,-1.2
1991-05-01,371.88,1.66,226.0,0.89,1.82,-0.55,721.0,20.97,174.04,-0.88,509.75,2.89,88.72,2.63,0.82,0.0
1991-06-01,340.6,-8.41,245.0,8.41,1.78,-2.2,777.51,7.84,200.15,15.0,480.3,-5.78,86.7,-2.28,0.84,2.44
1991-07-01,337.48,-0.92,303.0,23.67,1.7,-4.49,723.48,-6.95,207.82,3.83,480.3,0.0,83.91,-3.22,0.82,-2.38
1991-08-01,337.22,-0.08,299.0,-1.32,1.62,-4.71,680.64,-5.92,210.57,1.32,553.48,15.24,77.52,-7.62,0.82,0.0
1991-09-01,313.96,-6.9,296.0,-1.0,1.55,-4.32,613.45,-9.87,210.68,0.05,582.79,5.3,74.05,-4.48,0.81,-1.22
1991-10-01,308.39,-1.77,353.0,19.26,1.5,-3.23,558.18,-9.01,214.44,1.78,573.05,-1.67,75.36,1.77,0.83,2.47
1991-11-01,307.57,-0.27,385.0,9.07,1.4,-6.67,641.49,14.93,195.5,-8.83,573.89,0.15,75.26,-0.13,0.81,-2.41
1991-12-01,295.4,-3.96,411.0,6.75,1.36,-2.86,652.19,1.67,200.33,2.47,567.39,-1.13,71.29,-5.28,0.79,-2.47
1992-01-01,297.04,0.56,488.0,18.73,1.31,-3.68,619.37,-5.03,202.85,1.26,577.77,1.83,70.7,-0.83,0.8,1.27
1992-02-01,341.89,15.1,471.0,-3.48,1.24,-5.34,655.83,5.89,214.04,5.52,599.19,3.71,67.84,-4.05,0.81,1.25
1992-03-01,341.18,-0.21,429.0,-8.92,1.22,-1.61,667.93,1.84,201.96,-5.64,602.24,0.51,69.77,2.84,0.83,2.47
1992-04-01,352.12,3.21,425.0,-0.93,1.28,4.92,667.7,-0.03,199.67,-1.13,616.38,2.35,75.95,8.86,0.86,3.61
1992-05-01,367.36,4.33,413.0,-2.82,1.34,4.69,663.07,-0.69,200.75,0.54,628.68,2.0,80.0,5.33,0.87,1.16
1992-06-01,364.88,-0.68,390.0,-5.57,1.41,5.22,633.89,-4.4,205.11,2.17,610.79,-2.85,76.77,-4.04,0.88,1.15
1992-07-01,363.09,-0.49,352.0,-9.74,1.44,2.13,595.28,-6.09,201.08,-1.96,609.62,-0.19,76.57,-0.26,0.88,0.0
1992-08-01,351.25,-3.26,320.0,-9.09,1.32,-8.33,568.94,-4.42,197.25,-1.9,607.43,-0.36,72.87,-4.83,0.88,0.0
1992-09-01,349.29,-0.56,328.0,2.5,1.25,-5.3,572.72,0.66,205.53,4.2,606.17,-0.21,77.72,6.66,0.87,-1.14
1992-10-01,335.47,-3.96,320.0,-2.44,1.17,-6.4,535.26,-6.54,220.2,7.14,600.25,-0.98,80.98,4.19,0.89,2.3
1992-11-01,320.1,-4.58,329.0,2.81,1.16,-0.85,508.04,-5.09,220.08,-0.05,623.68,3.9,80.05,-1.15,0.88,-1.12
1992-12-01,310.7,-2.94,300.0,-8.81,1.2,3.45,512.94,0.96,245.58,11.59,604.35,-3.1,81.14,1.36,0.88,0.0
1993-01-01,312.39,0.54,278.0,-7.33,1.26,5.0,495.22,-3.45,249.97,1.79,605.35,0.17,79.87,-1.57,0.91,3.41
1993-02-01,309.68,-0.87,279.0,0.36,1.33,5.56,469.37,-5.22,286.7,14.69,618.11,2.11,81.41,1.93,0.89,-2.2
1993-03-01,309.67,0.0,277.0,-0.72,1.36,2.26,469.37,0.0,345.34,20.45,616.81,-0.21,81.48,0.09,0.85,-4.49
1993-04-01,328.92,6.22,262.0,-5.42,1.35,-0.74,429.69,-8.45,463.41,34.19,645.42,4.64,81.6,0.15,0.82,-3.53
1993-05-01,337.01,2.46,274.0,4.58,1.33,-1.48,468.13,8.95,520.81,12.39,776.63,20.33,80.35,-1.53,0.81,-1.22
1993-06-01,327.79,-2.74,289.0,5.47,1.3,-2.26,470.06,0.41,493.82,-5.18,803.57,3.47,76.95,-4.23,0.81,0.0
1993-07-01,324.38,-1.04,303.0,4.84,1.27,-2.31,464.93,-1.09,467.02,-5.43,829.75,3.26,76.52,-0.56,0.81,0.0
1993-08-01,313.93,-3.22,306.0,0.99,1.22,-3.94,450.74,-3.05,450.47,-3.54,835.6,0.71,79.32,3.66,0.82,1.23
1993-09-01,310.83,-0.99,288.0,-5.88,1.22,0.0,423.51,-6.04,384.0,-14.76,851.1,1.85,80.43,1.4,0.82,0.0
1993-10-01,316.62,1.86,275.0,-4.51,1.21,-0.82,454.84,7.4,378.13,-1.53,851.33,0.03,81.76,1.65,0.8,-2.44
1993-11-01,325.5,2.8,308.0,12.0,1.21,0.0,497.77,9.44,333.36,-11.84,835.17,-1.9,80.82,-1.15,0.81,1.25
1993-12-01,320.03,-1.68,406.0,31.82,1.31,8.26,465.45,-6.49,304.66,-8.61,830.07,-0.61,79.84,-1.21,0.82,1.23
1994-01-01,320.1,0.02,403.0,-0.74,1.53,16.79,542.31,16.51,294.84,-3.22,774.17,-6.73,75.07,-5.97,0.81,-1.22
1994-02-01,338.13,5.63,384.0,-4.71,1.78,16.34,606.03,11.75,303.35,2.89,758.36,-2.04,75.08,0.01,0.85,4.94
1994-03-01,379.25,12.16,365.0,-4.95,1.8,1.12,609.58,0.59,310.48,2.35,770.99,1.67,78.96,5.17,0.91,7.06
1994-04-01,376.82,-0.64,377.0,3.29,1.85,2.78,645.79,5.94,326.24,5.08,819.89,6.34,84.75,7.33,0.95,4.4
1994-05-01,398.37,5.72,408.0,8.22,1.9,2.7,719.63,11.43,343.5,5.29,855.1,4.29,87.33,3.04,0.98,3.16
1994-06-01,394.46,-0.98,430.0,5.39,1.89,-0.53,779.41,8.31,344.6,0.32,876.8,2.54,88.75,1.63,1.05,7.14
1994-07-01,411.95,4.43,430.0,0.0,1.8,-4.76,773.5,-0.76,331.98,-3.66,875.95,-0.1,90.45,1.92,1.25,19.05
1994-08-01,425.91,3.39,443.0,3.02,1.69,-6.11,806.82,4.31,316.74,-4.59,887.33,1.3,89.76,-0.76,1.26,0.8
1994-09-01,444.48,4.36,426.0,-3.84,1.66,-1.78,876.1,8.59,299.92,-5.31,861.73,-2.89,93.77,4.47,1.27,0.79
1994-10-01,433.45,-2.48,409.0,-3.99,1.63,-1.81,824.64,-5.87,291.55,-2.79,806.86,-6.37,93.67,-0.11,1.37,7.87
1994-11-01,446.07,2.91,464.0,13.45,1.71,4.91,881.7,6.92,279.43,-4.16,792.31,-1.8,93.04,-0.67,1.34,-2.19
1994-12-01,426.04,-4.49,469.0,1.08,1.92,12.28,878.41,-0.37,247.96,-11.26,777.81,-1.83,91.14,-2.04,1.47,9.7
1995-01-01,447.06,4.93,414.0,-11.73,2.11,9.9,904.18,2.93,248.42,0.19,793.98,2.08,90.12,-1.12,1.64,11.56
1995-02-01,467.94,4.67,412.0,-0.48,2.23,5.69,892.34,-1.31,251.8,1.36,753.47,-5.1,91.42,1.44,1.77,7.93
1995-03-01,516.73,10.43,412.0,0.0,2.44,9.42,887.13,-0.58,283.1,12.43,714.2,-5.21,97.95,7.14,1.8,1.69
1995-04-01,520.27,0.69,413.0,0.24,2.51,2.87,867.85,-2.17,300.91,6.29,732.6,2.58,102.32,4.46,1.84,2.22
1995-05-01,516.49,-0.73,410.0,-0.73,2.53,0.8,839.28,-3.29,285.43,-5.14,750.78,2.48,99.61,-2.65,1.72,-6.52
1995-06-01,519.41,0.57,425.0,3.66,2.0,-20.95,826.06,-1.58,274.22,-3.93,759.1,1.11,92.43,-7.21,1.54,-10.47
1995-07-01,537.66,3.51,448.0,5.41,1.93,-3.5,751.11,-9.07,259.57,-5.34,752.33,-0.89,85.71,-7.27,1.33,-13.64
1995-08-01,547.44,1.82,458.0,2.23,1.88,-2.59,789.25,5.08,235.66,-9.21,741.7,-1.41,82.46,-3.79,1.3,-2.26
1995-09-01,507.04,-7.38,450.0,-1.75,2.01,6.91,732.98,-7.13,221.73,-5.91,728.71,-1.75,82.43,-0.04,1.35,3.85
1995-10-01,495.99,-2.18,464.0,3.11,2.01,0.0,622.07,-15.13,233.86,5.47,723.5,-0.71,82.2,-0.28,1.41,4.44
1995-11-01,436.58,-11.98,488.0,5.17,1.97,-1.99,600.95,-3.4,230.96,-1.24,716.06,-1.03,77.96,-5.16,1.61,14.18
1995-12-01,453.11,3.79,468.0,-4.1,1.94,-1.52,590.53,-1.73,241.78,4.68,715.85,-0.03,73.05,-6.3,1.64,1.86
1996-01-01,456.77,0.81,456.0,-2.56,1.9,-2.06,584.39,-1.04,234.29,-3.1,719.36,0.49,73.56,0.7,1.55,-5.49
1996-02-01,450.38,-1.4,475.0,4.17,1.87,-1.58,525.31,-10.11,246.43,5.18,713.66,-0.79,75.13,2.13,1.56,0.65
1996-03-01,439.18,-2.49,461.0,-2.95,1.83,-2.14,573.83,9.24,253.01,2.67,728.68,2.1,77.99,3.81,1.48,-5.13
1996-04-01,416.56,-5.15,479.0,3.9,1.83,0.0,597.67,4.15,252.48,-0.21,751.38,3.12,84.66,8.55,1.46,-1.35
1996-05-01,440.06,5.64,503.0,5.01,1.83,0.0,743.54,24.41,261.65,3.63,753.11,0.23,87.56,3.43,1.48,1.37
1996-06-01,447.61,1.72,550.0,9.34,1.83,0.0,701.36,-5.67,255.85,-2.22,747.91,-0.69,82.15,-6.18,1.47,-0.68
1996-07-01,420.32,-6.1,534.0,-2.91,1.76,-3.83,671.43,-4.27,259.69,1.5,743.97,-0.53,89.64,9.12,1.35,-8.16
1996-08-01,417.67,-0.63,495.0,-7.3,1.68,-4.55,751.65,11.95,263.48,1.46,743.43,-0.07,96.09,7.2,1.3,-3.7
1996-09-01,404.38,-3.18,475.0,-4.04,1.66,-1.19,738.33,-1.77,258.69,-1.82,755.31,1.6,98.91,2.93,1.3,0.0
1996-10-01,416.41,2.97,470.0,-1.05,1.66,0.0,681.61,-7.68,252.67,-2.33,753.33,-0.26,101.51,2.63,1.24,-4.62
1996-11-01,419.48,0.74,471.0,0.21,1.68,1.2,616.97,-9.48,253.21,0.21,753.65,0.04,89.97,-11.37,1.27,2.42
1996-12-01,417.72,-0.42,498.0,5.73,1.75,4.17,632.94,2.59,233.76,-7.68,726.84,-3.56,90.69,0.8,1.26,-0.79
1997-01-01,408.62,-2.18,506.0,1.61,1.76,0.57,677.73,7.08,240.56,2.91,740.31,1.85,90.02,-0.74,1.23,-2.38
1997-02-01,442.94,8.4,496.0,-1.98,1.77,0.57,730.96,7.85,235.18,-2.24,753.29,1.75,93.49,3.85,1.22,-0.81
1997-03-01,425.82,-3.87,489.0,-1.41,1.78,0.56,719.66,-1.55,242.04,2.92,756.65,0.45,99.46,6.39,1.23,0.82
1997-04-01,451.19,5.96,466.0,-4.7,1.74,-2.25,764.21,6.19,240.16,-0.78,749.82,-0.9,98.68,-0.78,1.15,-6.5
1997-05-01,467.49,3.61,428.0,-8.15,1.75,0.57,805.0,5.34,252.18,5.0,747.56,-0.3,89.44,-9.36,1.11,-3.48
1997-06-01,478.76,2.41,415.0,-3.04,1.78,1.71,829.35,3.02,264.32,4.81,736.6,-1.47,81.57,-8.8,1.11,0.0
1997-07-01,478.56,-0.04,399.0,-3.86,1.79,0.56,826.26,-0.37,254.34,-3.78,705.7,-4.19,80.11,-1.79,0.94,-15.32
1997-08-01,427.63,-10.64,385.0,-3.51,1.79,0.0,765.93,-7.3,244.23,-3.97,649.0,-8.03,83.9,4.73,0.92,-2.13
1997-09-01,448.81,4.95,403.0,4.68,1.76,-1.68,801.91,4.7,232.74,-4.7,587.03,-9.55,84.54,0.76,0.87,-5.43
1997-10-01,435.41,-2.99,412.0,2.23,1.71,-2.84,769.16,-4.08,227.39,-2.3,534.52,-8.95,86.35,2.14,0.87,0.0
1997-11-01,434.67,-0.17,412.0,0.0,1.7,-0.58,739.89,-3.81,214.79,-5.54,516.44,-3.38,89.18,3.28,0.84,-3.45
1997-12-01,413.62,-4.84,394.0,-4.37,1.64,-3.53,688.07,-7.0,211.1,-1.72,471.02,-8.79,82.29,-7.73,0.73,-13.1
1998-01-01,399.02,-3.53,378.0,-4.06,1.59,-3.05,636.11,-7.55,197.1,-6.63,413.37,-12.24,66.79,-18.84,0.68,-6.85
1998-02-01,406.64,1.91,371.0,-1.85,1.52,-4.4,631.72,-0.69,202.54,2.76,504.15,21.96,77.62,16.22,0.82,20.59
1998-03-01,384.83,-5.36,378.0,1.89,1.51,-0.66,625.92,-0.92,190.94,-5.73,506.13,0.39,82.61,6.43,0.74,-9.76
1998-04-01,379.81,-1.3,380.0,0.53,1.45,-3.97,627.82,0.3,166.49,-12.81,505.98,-0.03,83.77,1.4,0.77,4.05
1998-05-01,355.7,-6.35,420.0,10.53,1.42,-2.07,606.13,-3.45,146.68,-11.9,472.69,-6.58,85.03,1.5,0.78,1.3
1998-06-01,348.24,-2.1,414.0,-1.43,1.52,7.04,595.3,-1.79,137.41,-6.32,451.42,-4.5,83.2,-2.15,0.7,-10.26
1998-07-01,308.83,-11.32,402.0,-2.9,1.54,1.32,583.14,-2.04,134.96,-1.78,437.6,-3.06,81.09,-2.54,0.7,0.0
1998-08-01,296.93,-3.85,403.0,0.25,1.5,-2.6,500.19,-14.22,136.94,1.47,455.58,4.11,81.11,0.02,0.65,-7.14
1998-09-01,280.11,-5.66,409.0,1.49,1.46,-2.67,462.89,-7.46,150.19,9.68,503.5,10.52,75.39,-7.05,0.68,4.62
1998-10-01,286.85,2.41,439.0,7.33,1.36,-6.85,417.47,-9.81,162.95,8.5,510.49,1.39,68.27,-9.44,0.73,7.35
1998-11-01,294.93,2.82,465.0,5.92,1.24,-8.82,472.27,13.13,159.45,-2.15,513.99,0.69,67.41,-1.26,0.72,-1.37
1998-12-01,294.77,-0.05,474.0,1.94,1.23,-0.81,474.81,0.54,163.46,2.51,534.97,4.08,68.03,0.92,0.67,-6.94
1999-01-01,299.37,1.56,471.0,-0.63,1.23,0.0,489.07,3.0,176.22,7.81,538.46,0.65,69.15,1.65,0.71,5.97
1999-02-01,287.1,-4.1,451.0,-4.25,1.24,0.81,493.14,0.83,177.12,0.51,538.46,0.0,69.84,1.0,0.69,-2.82
1999-03-01,297.46,3.61,451.0,0.0,1.25,0.81,626.64,27.07,172.52,-2.6,555.94,3.25,70.76,1.32,0.64,-7.25
1999-04-01,298.88,0.48,504.0,11.75,1.27,1.6,680.43,8.58,175.18,1.54,566.43,1.89,67.17,-5.07,0.59,-7.81
1999-05-01,288.74,-3.39,530.0,5.16,1.32,3.94,620.3,-8.84,176.52,0.76,580.42,2.47,65.98,-1.77,0.6,1.69
1999-06-01,288.32,-0.15,530.0,0.0,1.29,-2.27,676.74,9.1,183.55,3.98,608.39,4.82,66.76,1.18,0.6,0.0
1999-07-01,286.32,-0.69,449.0,-15.28,1.2,-6.98,690.03,1.96,186.53,1.62,622.38,2.3,68.08,1.98,0.57,-5.0
1999-08-01,254.34,-11.17,431.0,-4.01,1.12,-6.67,631.04,-8.55,198.44,6.39,629.37,1.12,72.36,6.29,0.56,-1.75
1999-09-01,247.09,-2.85,421.0,-2.32,1.09,-2.68,623.26,-1.23,202.78,2.19,643.36,2.22,77.76,7.46,0.54,-3.57
1999-10-01,247.29,0.08,430.0,2.14,1.05,-3.67,619.83,-0.55,198.38,-2.17,643.36,0.0,80.45,3.46,0.65,20.37
1999-11-01,255.49,3.32,436.0,1.4,1.02,-2.86,631.74,1.92,198.59,0.11,643.36,0.0,79.64,-1.01,0.74,13.85
1999-12-01,267.26,4.61,434.0,-0.46,0.97,-4.9,648.77,2.7,199.49,0.45,643.36,0.0,77.86,-2.24,0.65,-12.16
2000-01-01,276.44,3.43,420.0,-3.23,1.05,8.25,724.21,11.63,193.08,-3.21,643.36,0.0,76.28,-2.03,0.64,-1.54
2000-02-01,260.07,-5.92,411.0,-2.14,1.18,12.38,727.09,0.4,184.11,-4.65,643.36,0.0,75.88,-0.52,0.74,15.63
2000-03-01,267.1,2.7,399.0,-2.92,1.26,6.78,767.31,5.53,190.87,3.67,636.36,-1.09,77.9,2.66,0.68,-8.11
2000-04-01,273.81,2.51,353.0,-11.53,1.29,2.38,801.42,4.45,194.19,1.74,636.36,0.0,78.67,0.99,0.7,2.94
2000-05-01,290.37,6.05,324.0,-8.22,1.33,3.1,817.72,2.03,189.5,-2.42,633.93,-0.38,79.24,0.72,0.69,-1.43
2000-06-01,293.98,1.24,295.0,-8.95,1.31,-1.5,764.33,-6.53,194.18,2.47,629.37,-0.72,75.06,-5.28,0.67,-2.9
2000-07-01,302.36,2.85,284.0,-3.73,1.29,-1.53,746.93,-2.28,191.07,-1.6,628.21,-0.18,77.52,3.28,0.65,-2.99
2000-08-01,289.92,-4.11,274.0,-3.52,1.34,3.88,717.29,-3.97,191.08,0.01,604.9,-3.71,81.61,5.28,0.66,1.54
2000-09-01,283.27,-2.29,222.0,-18.98,1.36,1.49,695.9,-2.98,193.57,1.3,544.96,-9.91,85.44,4.69,0.66,0.0
2000-10-01,279.87,-1.2,210.0,-5.41,1.34,-1.47,688.38,-1.08,189.44,-2.13,538.46,-1.19,85.41,-0.04,0.66,0.0
2000-11-01,267.66,-4.36,237.0,12.86,1.41,5.22,663.53,-3.61,188.11,-0.7,526.38,-2.24,84.43,-1.15,0.63,-4.55
2000-12-01,286.88,7.18,228.0,-3.8,1.45,2.84,688.39,3.75,180.16,-4.23,524.48,-0.36,85.25,0.97,0.62,-1.59
2001-01-01,309.69,7.95,205.0,-10.09,1.41,-2.76,716.14,4.03,171.87,-4.6,517.48,-1.33,85.32,0.08,0.61,-1.61
2001-02-01,323.95,4.6,193.0,-5.85,1.33,-5.67,733.28,2.39,173.43,0.91,501.75,-3.04,84.49,-0.97,0.6,-1.64
2001-03-01,315.36,-2.65,182.0,-5.7,1.2,-9.77,688.23,-6.14,166.15,-4.2,500.0,-0.35,93.27,10.39,0.57,-5.0
2001-04-01,327.52,3.86,183.0,0.55,1.13,-5.83,760.63,10.52,162.52,-2.18,500.0,0.0,101.32,8.63,0.58,1.75
2001-05-01,325.69,-0.56,189.0,3.28,1.1,-2.65,716.77,-5.77,165.05,1.56,500.0,0.0,102.29,0.96,0.61,5.17
2001-06-01,326.92,0.38,196.0,3.7,1.05,-4.55,683.81,-4.6,164.75,-0.18,476.69,-4.66,97.53,-4.65,0.62,1.64
2001-07-01,328.26,0.41,223.0,13.78,1.0,-4.76,630.79,-7.75,159.29,-3.31,481.09,0.92,87.89,-9.88,0.6,-3.23
2001-08-01,348.94,6.3,235.0,5.38,0.96,-4.0,617.91,-2.04,158.99,-0.19,475.52,-1.16,76.94,-12.46,0.59,-1.67
2001-09-01,340.53,-2.41,210.0,-10.64,0.91,-5.21,524.19,-15.17,156.31,-1.69,489.51,2.94,73.06,-5.04,0.58,-1.69
2001-10-01,330.29,-3.01,195.0,-7.14,0.82,-9.89,441.98,-15.68,149.64,-4.27,484.65,-0.99,70.88,-2.98,0.54,-6.9
2001-11-01,335.91,1.7,202.0,3.59,0.84,2.44,466.09,5.45,142.5,-4.77,465.99,-3.85,72.88,2.82,0.51,-5.56
2001-12-01,376.13,11.97,212.0,4.95,0.95,13.1,501.44,7.58,138.13,-3.07,468.86,0.62,69.34,-4.86,0.49,-3.92
2002-01-01,444.11,18.07,221.0,4.25,0.96,1.05,599.55,19.57,133.28,-3.51,470.96,0.45,68.35,-1.43,0.57,16.33
2002-02-01,516.35,16.27,232.0,4.98,0.94,-2.08,621.99,3.74,134.58,0.98,482.52,2.45,72.24,5.69,0.62,8.77
2002-03-01,529.16,2.48,232.0,0.0,0.93,-1.06,607.57,-2.32,143.81,6.86,482.18,-0.07,80.3,11.16,0.67,8.06
2002-04-01,525.07,-0.77,244.0,5.17,0.91,-2.15,614.56,1.15,143.94,0.09,485.06,0.6,83.69,4.22,0.67,0.0
2002-05-01,519.78,-1.01,263.0,7.79,0.88,-3.3,619.09,0.74,153.43,6.59,484.65,-0.08,84.14,0.54,0.7,4.48
2002-06-01,548.84,5.59,289.0,9.89,0.96,9.09,603.14,-2.58,163.55,6.6,500.0,3.17,86.98,3.38,0.84,20.0
2002-07-01,539.68,-1.67,289.0,0.0,1.03,7.29,569.12,-5.64,178.82,9.34,507.45,1.49,84.39,-2.98,0.83,-1.19
2002-08-01,534.99,-0.87,290.0,0.35,1.09,5.83,575.72,1.16,181.94,1.74,532.74,4.98,85.63,1.47,0.86,3.61
2002-09-01,584.34,9.22,270.0,-6.9,1.08,-0.92,642.41,11.58,181.95,0.01,564.77,6.01,85.74,0.13,0.89,3.49
2002-10-01,664.34,13.69,274.0,1.48,1.09,0.93,748.18,16.46,179.88,-1.14,565.22,0.08,85.7,-0.05,0.83,-6.74
2002-11-01,691.81,4.13,290.0,5.84,1.15,5.5,768.39,2.7,183.47,2.0,564.44,-0.14,81.21,-5.24,0.84,1.2
2002-12-01,689.34,-0.36,301.0,3.79,1.22,6.09,763.16,-0.68,182.22,-0.68,565.16,0.13,70.62,-13.04,0.85,1.19
2003-01-01,725.81,5.29,311.0,3.32,1.25,2.46,800.63,4.91,187.78,3.05,552.45,-2.25,69.8,-1.16,0.91,7.06
2003-02-01,734.89,1.25,309.0,-0.64,1.29,3.2,778.49,-2.77,186.81,-0.52,549.83,-0.47,70.93,1.62,0.99,8.79
2003-03-01,681.58,-7.25,291.0,-5.83,1.35,4.65,733.7,-5.75,184.18,-1.41,549.12,-0.13,70.11,-1.16,1.06,7.07
2003-04-01,685.72,0.61,273.0,-6.19,1.34,-0.74,740.17,0.88,180.0,-2.27,550.06,0.17,67.97,-3.05,1.0,-5.66
2003-05-01,633.01,-7.69,276.0,1.1,1.28,-4.48,678.33,-8.35,183.88,2.16,554.83,0.87,63.55,-6.5,1.0,0.0
2003-06-01,680.28,7.47,279.0,1.09,1.29,0.78,697.09,2.77,182.34,-0.84,552.45,-0.43,61.28,-3.57,1.03,3.0
2003-07-01,684.95,0.69,279.0,0.0,1.33,3.1,678.54,-2.66,181.67,-0.37,552.45,0.0,63.84,4.18,1.0,-2.91
2003-08-01,653.47,-4.6,275.0,-1.43,1.33,0.0,670.87,-1.13,181.46,-0.12,559.44,1.27,68.52,7.33,1.05,5.0
2003-09-01,647.28,-0.95,274.25,-0.27,1.41,6.02,674.52,0.54,187.19,3.16,545.45,-2.5,71.15,3.84,1.11,5.71
2003-10-01,602.73,-6.88,297.0,8.3,1.6,13.48,664.39,-1.5,196.77,5.12,545.45,0.0,70.5,-0.91,1.3,17.12
2003-11-01,589.76,-2.15,335.0,12.79,1.7,6.25,646.52,-2.69,197.46,0.35,545.45,0.0,70.75,0.35,1.28,-1.54
2003-12-01,588.41,-0.23,400.0,19.4,1.62,-4.71,661.25,2.28,196.44,-0.52,538.46,-1.28,71.23,0.68,1.26,-1.56
2004-01-01,613.51,4.27,388.0,-3.0,1.67,3.09,729.36,10.3,199.06,1.33,538.46,0.0,72.44,1.7,1.24,-1.59
2004-02-01,611.93,-0.26,415.0,6.96,1.63,-2.4,721.52,-1.07,199.0,-0.03,552.45,2.6,69.54,-4.0,1.28,3.23
2004-03-01,587.69,-3.96,450.0,8.43,1.59,-2.45,708.75,-1.77,195.2,-1.91,552.45,0.0,67.28,-3.25,1.33,3.91
2004-04-01,554.63,-5.63,500.0,11.11,1.53,-3.77,706.12,-0.37,197.96,1.41,552.45,0.0,63.66,-5.38,1.37,3.01
2004-05-01,533.09,-3.88,498.0,-0.4,1.54,0.65,676.93,-4.13,188.43,-4.81,587.41,6.33,62.94,-1.13,1.35,-1.46
2004-06-01,560.59,5.16,471.0,-5.42,1.42,-7.79,708.15,4.61,198.62,5.41,590.91,0.6,65.1,3.43,1.37,1.48
2004-07-01,553.05,-1.35,445.0,-5.52,1.26,-11.27,717.64,1.34,200.45,0.92,594.41,0.59,67.66,3.93,1.28,-6.57
